id,ink_name,created_at
1,ผ้าน้ำเงิน,2025-10-02 01:37:46.034715+00
2,ผ้าดำ,2025-10-02 01:37:46.034715+00
3,ผ้าชมพู,2025-10-02 01:37:46.034715+00
4,ผ้าเขียว,2025-10-02 01:37:46.034715+00
5,กระดาษน้ำเงิน,2025-10-02 01:37:46.034715+00
6,กระดาษแดง,2025-10-02 01:37:46.034715+00
7,กระดาษดำ,2025-10-02 01:37:46.034715+00
8,กระดาษเขียว,2025-10-02 01:40:26+00
9,พลาสติกน้ำเงิน,2025-10-02 01:40:47+00
10,พลาสติกแดง,2025-10-02 01:41:06+00
11,พลาสติกดำ,2025-10-02 01:41:22+00
12,พลาสติกเขียว,2025-10-02 01:41:34+00